Date,Interval,Calls,#_day_of_week,day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year
2017-09-30,732,0,5,Saturday,8,2.0,0,9,2017
2017-10-01,4560,0,6,Sunday,96,24.0,0,10,2017
2017-10-02,4560,1108,0,Monday,96,24.0,46,10,2017
2017-10-03,4560,1047,1,Tuesday,96,24.0,43,10,2017
2017-10-04,4560,927,2,Wednesday,96,24.0,38,10,2017
2017-10-05,4560,1201,3,Thursday,96,24.0,50,10,2017
2017-10-06,4560,1295,4,Friday,96,24.0,53,10,2017
2017-10-07,4192,0,5,Saturday,92,23.0,0,10,2017
2017-10-08,2256,0,6,Sunday,48,12.0,0,10,2017
2017-10-09,2256,709,0,Monday,48,12.0,59,10,2017
2017-10-10,2256,483,1,Tuesday,48,12.0,40,10,2017
2017-10-11,2256,419,2,Wednesday,48,12.0,34,10,2017
2017-10-12,2256,417,3,Thursday,48,12.0,34,10,2017
2017-10-13,2256,377,4,Friday,48,12.0,31,10,2017
2017-10-14,2256,0,5,Saturday,48,12.0,0,10,2017
2017-10-15,2256,0,6,Sunday,48,12.0,0,10,2017
2017-10-16,2256,468,0,Monday,48,12.0,39,10,2017
2017-10-17,2256,347,1,Tuesday,48,12.0,28,10,2017
2017-10-18,2257,281,2,Wednesday,48,12.0,23,10,2017
2017-10-19,2256,321,3,Thursday,48,12.0,26,10,2017
2017-10-20,2256,288,4,Friday,48,12.0,24,10,2017
2017-10-21,2256,0,5,Saturday,48,12.0,0,10,2017
2017-10-22,2256,0,6,Sunday,48,12.0,0,10,2017
2017-10-23,2256,432,0,Monday,48,12.0,36,10,2017
2017-10-24,2256,331,1,Tuesday,48,12.0,27,10,2017
2017-10-25,2256,340,2,Wednesday,48,12.0,28,10,2017
2017-10-26,2256,355,3,Thursday,48,12.0,29,10,2017
2017-10-27,2624,379,4,Friday,52,13.0,29,10,2017
2017-10-28,4560,0,5,Saturday,96,24.0,0,10,2017
2017-10-29,4538,0,6,Sunday,92,23.0,0,10,2017
2017-10-30,4560,943,0,Monday,96,24.0,39,10,2017
2017-10-31,4560,765,1,Tuesday,96,24.0,31,10,2017
2017-11-01,4560,757,2,Wednesday,96,24.0,31,11,2017
2017-11-02,4560,670,3,Thursday,96,24.0,27,11,2017
2017-11-03,4560,538,4,Friday,96,24.0,22,11,2017
2017-11-04,4560,0,5,Saturday,96,24.0,0,11,2017
2017-11-05,4560,4,6,Sunday,96,24.0,0,11,2017
2017-11-06,4560,880,0,Monday,96,24.0,36,11,2017
2017-11-07,4560,741,1,Tuesday,96,24.0,30,11,2017
2017-11-08,4560,595,2,Wednesday,96,24.0,24,11,2017
2017-11-09,4560,551,3,Thursday,96,24.0,22,11,2017
2017-11-10,4560,578,4,Friday,96,24.0,24,11,2017
2017-11-11,4560,0,5,Saturday,96,24.0,0,11,2017
2017-11-12,4560,0,6,Sunday,96,24.0,0,11,2017
2017-11-13,4560,855,0,Monday,96,24.0,35,11,2017
2017-11-14,4560,652,1,Tuesday,96,24.0,27,11,2017
2017-11-15,4560,549,2,Wednesday,96,24.0,22,11,2017
2017-11-16,4372,537,3,Thursday,94,23.5,22,11,2017
2017-11-17,2256,292,4,Friday,48,12.0,24,11,2017
2017-11-18,2256,0,5,Saturday,48,12.0,0,11,2017
2017-11-19,2256,0,6,Sunday,48,12.0,0,11,2017
2017-11-20,2256,384,0,Monday,48,12.0,32,11,2017
2017-11-21,2256,320,1,Tuesday,48,12.0,26,11,2017
2017-11-22,2257,319,2,Wednesday,48,12.0,26,11,2017
2017-11-23,2178,275,3,Thursday,47,11.75,23,11,2017
2017-11-24,2256,262,4,Friday,48,12.0,21,11,2017
2017-11-25,2256,0,5,Saturday,48,12.0,0,11,2017
2017-11-26,2444,0,6,Sunday,50,12.5,0,11,2017
2017-11-27,4560,727,0,Monday,96,24.0,30,11,2017
2017-11-28,4560,795,1,Tuesday,96,24.0,33,11,2017
2017-11-29,4560,709,2,Wednesday,96,24.0,29,11,2017
2017-11-30,4560,717,3,Thursday,96,24.0,29,11,2017
2017-12-01,4560,615,4,Friday,96,24.0,25,12,2017
2017-12-02,4560,0,5,Saturday,96,24.0,0,12,2017
2017-12-03,4560,0,6,Sunday,96,24.0,0,12,2017
2017-12-04,4560,765,0,Monday,96,24.0,31,12,2017
2017-12-05,4560,572,1,Tuesday,96,24.0,23,12,2017
2017-12-06,4560,554,2,Wednesday,96,24.0,23,12,2017
2017-12-07,4560,547,3,Thursday,96,24.0,22,12,2017
2017-12-08,4560,555,4,Friday,96,24.0,23,12,2017
2017-12-09,4560,0,5,Saturday,96,24.0,0,12,2017
2017-12-10,4560,0,6,Sunday,96,24.0,0,12,2017
2017-12-11,4560,717,0,Monday,96,24.0,29,12,2017
2017-12-12,4560,593,1,Tuesday,96,24.0,24,12,2017
2017-12-13,4560,558,2,Wednesday,96,24.0,23,12,2017
2017-12-14,4560,578,3,Thursday,96,24.0,24,12,2017
2017-12-15,4560,612,4,Friday,96,24.0,25,12,2017
2017-12-16,4560,0,5,Saturday,96,24.0,0,12,2017
2017-12-17,4560,0,6,Sunday,96,24.0,0,12,2017
2017-12-18,4560,788,0,Monday,96,24.0,32,12,2017
